node_ID	Position	Time
5	499:488:0	47
5	501:489:0	47
5	497:488:0	47
7	502:488:0	47
7	504:488:0	47
7	503:487:0	47
7	499:488:0	47
7	502:488:0	47
7	501:489:0	47
8	509:488:0	47
8	507:488:0	47
8	508:488:0	47
8	510:488:0	47
8	505:488:0	47
8	506:487:0	47
9	504:511:0	47
11	487:489:0	47
11	486:488:0	47
11	484:490:0	47
11	485:489:0	47
12	512:510:0	47
12	513:509:0	47
12	515:509:0	47
12	517:510:0	47
13	502:488:0	47
13	507:488:0	47
13	505:488:0	47
13	506:487:0	47
13	504:488:0	47
13	503:487:0	47
14	489:600:0	47
5	496:488:0	47
7	497:488:0	47
9	507:511:0	47
9	509:511:0	47
10	504:511:0	47
11	487:490:0	47
12	511:510:0	47
3	489:594:0	47
3	488:600:0	47
5	500:488:0	47
9	509:511:0	47
11	484:488:0	47
11	488:489:0	47
3	490:598:0	47
3	488:597:0	47
3	488:599:0	47
5	498:488:0	47
7	500:488:0	47
10	507:511:0	47
11	481:490:0	47
12	518:511:0	47
14	488:597:0	47
9	506:511:0	47
10	506:511:0	47
5	501:488:0	48
5	497:488:0	48
7	503:488:0	48
7	501:488:0	48
7	501:488:0	48
8	510:488:0	48
8	508:488:0	48
8	507:488:0	48
8	506:486:0	48
9	503:511:0	48
9	505:511:0	48
9	506:511:0	48
9	508:511:0	48
11	488:489:0	48
11	486:490:0	48
11	485:489:0	48
11	484:489:0	48
12	511:509:0	48
12	514:509:0	48
12	513:510:0	48
13	503:488:0	48
13	508:488:0	48
13	507:488:0	48
13	506:486:0	48
13	504:487:0	48
13	501:488:0	48
5	502:489:0	48
5	499:488:0	48
7	504:487:0	48
7	503:488:0	48
9	508:511:0	48
10	503:511:0	48
11	487:489:0	48
11	482:490:0	48
12	512:510:0	48
12	516:510:0	48
13	505:488:0	48
14	489:598:0	48
14	488:600:0	48
5	503:488:0	48
5	499:488:0	48
7	502:489:0	48
7	499:488:0	48
10	505:511:0	48
11	487:489:0	48
12	512:510:0	48
13	503:488:0	48
14	488:600:0	48
8	505:488:0	48
12	519:509:0	48
5	495:488:0	48
7	497:488:0	48
8	510:489:0	48
8	504:487:0	48
7	507:488:0	48
13	510:489:0	48
9	510:511:0	48
5	503:489:0	49
5	498:488:0	49
5	500:488:0	49
7	502:488:0	49
7	503:489:0	49
7	500:488:0	49
8	513:488:0	49
8	507:487:0	49
8	507:486:0	49
9	502:511:0	49
9	504:511:0	49
9	505:511:0	49
9	507:511:0	49
10	489:488:0	49
11	487:489:0	49
11	489:488:0	49
11	487:490:0	49
11	485:489:0	49
11	483:490:0	49
11	484:489:0	49
12	513:509:0	49
12	512:510:0	49
12	515:510:0	49
12	517:510:0	49
12	522:511:0	49
13	504:488:0	49
13	506:488:0	49
13	505:487:0	49
13	504:488:0	49
5	502:488:0	49
5	500:488:0	49
5	494:488:0	49
7	501:488:0	49
7	504:488:0	49
8	511:489:0	49
10	487:490:0	49
14	489:599:0	49
14	488:600:0	49
14	488:600:0	49
9	509:511:0	49
10	494:488:0	49
10	489:489:0	49
10	484:489:0	49
12	516:511:0	49
14	488:599:0	49
5	498:488:0	49
7	498:488:0	49
11	484:488:0	49
12	520:511:0	49
13	502:488:0	49
13	503:489:0	49
7	494:488:0	49
8	506:488:0	49
14	489:597:0	49
14	488:600:0	49
13	500:488:0	49
14	488:597:0	49
5	503:488:0	50
5	501:488:0	50
5	499:488:0	50
7	503:488:0	50
7	503:488:0	50
7	499:488:0	50
7	501:488:0	50
8	509:488:0	50
8	508:488:0	50
8	508:486:0	50
8	507:488:0	50
8	506:487:0	50
9	501:511:0	50
9	504:511:0	50
9	506:511:0	50
10	489:488:0	50
10	492:488:0	50
10	490:489:0	50
11	487:489:0	50
11	485:490:0	50
11	483:490:0	50
11	485:488:0	50
12	510:511:0	50
12	512:509:0	50
12	514:510:0	50
12	512:510:0	50
12	516:510:0	50
12	517:509:0	50
12	515:511:0	50
12	517:511:0	50
13	505:488:0	50
13	508:486:0	50
13	506:487:0	50
13	503:488:0	50
13	505:488:0	50
14	490:594:0	50
14	488:600:0	50
5	501:488:0	50
5	496:488:0	50
7	506:487:0	50
10	490:488:0	50
11	485:489:0	50
10	492:489:0	50
11	482:489:0	50
14	488:600:0	50
7	501:488:0	50
8	505:488:0	50
11	481:488:0	50
11	487:489:0	50
13	508:488:0	50
13	503:488:0	50
7	496:488:0	50
10	483:490:0	50
5	503:488:0	50
9	511:511:0	50
10	485:490:0	50
5	504:488:0	51
5	500:488:0	51
7	504:488:0	51
7	502:488:0	51
7	502:488:0	51
7	500:488:0	51
8	506:488:0	51
8	508:488:0	51
8	508:488:0	51
8	508:486:0	51
8	506:487:0	51
