+12000000000.0ns POS: x=451.31, y=488.8, z=0; VEL:0.17, y=0, z=0
+12000000000.0ns POS: x=451.99, y=488.8, z=0; VEL:0.18, y=0, z=0
+12000000000.0ns POS: x=520, y=511.2, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=519.72, y=511.2, z=0; VEL:-0.08, y=0, z=0
+12000000000.0ns POS: x=519.39, y=511.2, z=0; VEL:-0.09, y=0, z=0
+12000000000.0ns POS: x=518.99, y=511.2, z=0; VEL:-0.09, y=0, z=0
+12000000000.0ns POS: x=511.2, y=460, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=511.2, y=460.69, z=0; VEL:0, y=0.24, z=0
+12000000000.0ns POS: x=511.2, y=461.56, z=0; VEL:0, y=0.23, z=0
+12000000000.0ns POS: x=511.2, y=462.58, z=0; VEL:0, y=0.25, z=0
+12000000000.0ns POS: x=488.8, y=525, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=488.8, y=524.33, z=0; VEL:0, y=-0.2, z=0
+12000000000.0ns POS: x=488.8, y=523.43, z=0; VEL:0, y=-0.22, z=0
+12000000000.0ns POS: x=488.8, y=522.56, z=0; VEL:0, y=-0.21, z=0
+12999137187.0ns POS: x=492, y=851.61, z=0; VEL:0, y=0, z=0
+12999192897.0ns POS: x=492, y=944.98, z=0; VEL:0, y=0, z=0
+12999999999.0ns POS: x=976.24, y=508, z=0; VEL:0, y=0, z=0
+12999999999.0ns POS: x=488.8, y=523.21, z=0; VEL:0, y=0, z=0
+12999999999.0ns POS: x=488.8, y=522.35, z=0; VEL:0, y=0, z=0
+13000000000.0ns POS: x=21.37, y=492, z=0; VEL:0, y=0, z=0
+13000000000.0ns POS: x=508, y=82.78, z=0; VEL:0, y=0, z=0
+13000000000.0ns POS: x=511.2, y=462.83, z=0; VEL:0, y=0, z=0
+13000000000.0ns POS: x=212.81, y=498.4, z=0; VEL:25.27, y=1.9698e-09, z=0
+13000000000.0ns POS: x=96.0607, y=498.285, z=0; VEL:20.7997, y=0.111282, z=0
+13000000000.0ns POS: x=21.37, y=492, z=0; VEL:10.0958, y=3.06223, z=0
+13000000000.0ns POS: x=170.22, y=492, z=0; VEL:24.99, y=0, z=0
+13000000000.0ns POS: x=5.1, y=492, z=0; VEL:8.65, y=0, z=0
+13000000000.0ns POS: x=761.2, y=508, z=0; VEL:-23.88, y=0, z=0
+13000000000.0ns POS: x=889.37, y=508, z=0; VEL:-22.85, y=0, z=0
+13000000000.0ns POS: x=976.24, y=508, z=0; VEL:-12.64, y=0, z=0
+13000000000.0ns POS: x=508, y=219.2, z=0; VEL:0, y=18.49, z=0
+13000000000.0ns POS: x=508, y=82.78, z=0; VEL:0, y=20.33, z=0
+13000000000.0ns POS: x=492, y=851.61, z=0; VEL:0, y=-12.32, z=0
+13000000000.0ns POS: x=492, y=944.98, z=0; VEL:0, y=-12.35, z=0
+13000000000.0ns POS: x=450, y=488.8, z=0; VEL:0.18, y=0, z=0
+13000000000.0ns POS: x=450.74, y=488.8, z=0; VEL:0.17, y=0, z=0
+13000000000.0ns POS: x=451.48, y=488.8, z=0; VEL:0.18, y=0, z=0
+13000000000.0ns POS: x=452.17, y=488.8, z=0; VEL:0.18, y=0, z=0
+13000000000.0ns POS: x=520, y=511.2, z=0; VEL:-0.09, y=0, z=0
+13000000000.0ns POS: x=519.64, y=511.2, z=0; VEL:-0.08, y=0, z=0
+13000000000.0ns POS: x=519.3, y=511.2, z=0; VEL:-0.09, y=0, z=0
+13000000000.0ns POS: x=518.9, y=511.2, z=0; VEL:-0.08, y=0, z=0
+13000000000.0ns POS: x=511.2, y=460, z=0; VEL:0, y=0.24, z=0
+13000000000.0ns POS: x=511.2, y=460.93, z=0; VEL:0, y=0.22, z=0
+13000000000.0ns POS: x=511.2, y=461.79, z=0; VEL:0, y=0.23, z=0
+13000000000.0ns POS: x=511.2, y=462.83, z=0; VEL:0, y=0.23, z=0
+13000000000.0ns POS: x=488.8, y=525, z=0; VEL:0, y=-0.24, z=0
+13000000000.0ns POS: x=488.8, y=524.13, z=0; VEL:0, y=-0.21, z=0
+13000000000.0ns POS: x=488.8, y=523.21, z=0; VEL:0, y=-0.22, z=0
+13000000000.0ns POS: x=488.8, y=522.35, z=0; VEL:0, y=-0.23, z=0
+13999999999.0ns POS: x=963.6, y=508, z=0; VEL:0, y=0, z=0
+13999999999.0ns POS: x=508, y=237.69, z=0; VEL:0, y=0, z=0
+13999999999.0ns POS: x=518.82, y=511.2, z=0; VEL:0, y=0, z=0
+13999999999.0ns POS: x=511.2, y=461.15, z=0; VEL:0, y=0, z=0
+14000000000.0ns POS: x=13.75, y=492, z=0; VEL:0, y=0, z=0
+14000000000.0ns POS: x=508, y=103.11, z=0; VEL:0, y=0, z=0
+14000000000.0ns POS: x=238.08, y=498.4, z=0; VEL:24.82, y=5.23942e-11, z=0
+14000000000.0ns POS: x=116.86, y=498.396, z=0; VEL:21.25, y=0.00352321, z=0
+14000000000.0ns POS: x=31.4658, y=495.062, z=0; VEL:11.8793, y=0.132685, z=0
+14000000000.0ns POS: x=195.21, y=492, z=0; VEL:24.09, y=0, z=0
+14000000000.0ns POS: x=13.75, y=492, z=0; VEL:11.17, y=0, z=0
+14000000000.0ns POS: x=737.32, y=508, z=0; VEL:-23.39, y=0, z=0
+14000000000.0ns POS: x=866.52, y=508, z=0; VEL:-22.73, y=0, z=0
+14000000000.0ns POS: x=963.6, y=508, z=0; VEL:-14.64, y=0, z=0
+14000000000.0ns POS: x=508, y=237.69, z=0; VEL:0, y=19.57, z=0
+14000000000.0ns POS: x=508, y=103.11, z=0; VEL:0, y=20.23, z=0
+14000000000.0ns POS: x=508, y=5.1, z=0; VEL:0, y=11.98, z=0
+14000000000.0ns POS: x=492, y=839.29, z=0; VEL:0, y=-12.7, z=0
+14000000000.0ns POS: x=492, y=932.63, z=0; VEL:0, y=-12.39, z=0
+14000000000.0ns POS: x=450.18, y=488.8, z=0; VEL:0.19, y=0, z=0
+14000000000.0ns POS: x=450.91, y=488.8, z=0; VEL:0.17, y=0, z=0
+14000000000.0ns POS: x=451.66, y=488.8, z=0; VEL:0.2, y=0, z=0
+14000000000.0ns POS: x=452.35, y=488.8, z=0; VEL:0.17, y=0, z=0
+14000000000.0ns POS: x=519.91, y=511.2, z=0; VEL:-0.1, y=0, z=0
+14000000000.0ns POS: x=519.56, y=511.2, z=0; VEL:-0.09, y=0, z=0
+14000000000.0ns POS: x=519.21, y=511.2, z=0; VEL:-0.09, y=0, z=0
