% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
9448	0	6	2	0	16	193	0	1	1	1.66245e+07
9448	0	7	1	0	16	193	0	1	1	2.82103e+06
9448	0	7	2	0	16	193	0	1	1	6.26324e+06
9448	0	8	1	0	16	193	0	1	1	1.43727e+06
9448	0	8	2	0	16	193	0	1	1	2.82103e+06
9448	0	9	1	0	16	193	0	1	1	801389
9448	0	9	2	0	16	193	0	1	1	1.43727e+06
9448	0	10	1	0	16	193	0	1	1	478706
9448	0	10	2	0	16	193	0	1	1	801389
9448	0	11	1	0	16	193	0	1	1	12.6725
9448	0	11	2	0	16	193	0	1	1	12.6974
9456	0	3	1	0	16	193	1	0	1	3.44867e+08
9456	0	3	2	0	16	193	1	0	1	7.15411e+09
9456	0	4	1	0	16	193	1	0	1	5.8521e+07
9456	0	4	2	0	16	193	1	0	1	3.44867e+08
9456	0	5	1	0	16	193	1	0	1	1.66245e+07
9456	0	5	2	0	16	193	1	0	1	5.8521e+07
9456	0	6	1	0	16	193	1	0	1	6.26324e+06
9456	0	6	2	0	16	193	1	0	1	1.66245e+07
9456	0	7	1	0	16	193	1	0	1	2.82103e+06
9456	0	7	2	0	16	193	1	0	1	6.26324e+06
9456	0	8	1	0	16	193	1	0	1	1.43727e+06
9456	0	8	2	0	16	193	1	0	1	2.82103e+06
9456	0	9	1	0	16	193	1	0	1	801389
9456	0	9	2	0	16	193	1	0	1	1.43727e+06
9456	0	10	1	0	16	193	1	0	1	478706
9456	0	10	2	0	16	193	1	0	1	801389
9456	0	11	1	0	16	193	1	0	1	12.6725
9456	0	11	2	0	16	193	1	0	1	12.6974
9464	0	3	1	0	16	193	2	0	1	3.44867e+08
9464	0	3	2	0	16	193	2	0	1	7.15411e+09
9464	0	4	1	0	16	193	2	0	1	5.8521e+07
9464	0	4	2	0	16	193	2	0	1	3.44867e+08
9464	0	5	1	0	16	193	2	0	1	1.66245e+07
9464	0	5	2	0	16	193	2	0	1	5.8521e+07
9464	0	6	1	0	16	193	2	0	1	6.26324e+06
9464	0	6	2	0	16	193	2	0	1	1.66245e+07
9464	0	7	1	0	16	193	2	0	1	2.82103e+06
9464	0	7	2	0	16	193	2	0	1	6.26324e+06
9464	0	8	1	0	16	193	2	0	1	1.43727e+06
9464	0	8	2	0	16	193	2	0	1	2.82103e+06
9464	0	9	1	0	16	193	2	0	1	801389
9464	0	9	2	0	16	193	2	0	1	1.43727e+06
9464	0	10	1	0	16	193	2	0	1	478706
9464	0	10	2	0	16	193	2	0	1	801389
9464	0	11	1	0	16	193	2	0	1	12.6725
9464	0	11	2	0	16	193	2	0	1	12.6974
9472	0	3	1	0	16	193	3	0	1	3.44867e+08
9472	0	3	2	0	16	193	3	0	1	7.15411e+09
9472	0	4	1	0	16	193	3	0	1	5.8521e+07
9472	0	4	2	0	16	193	3	0	1	3.44867e+08
9472	0	5	1	0	16	193	3	0	1	1.66245e+07
9472	0	5	2	0	16	193	3	0	1	5.8521e+07
9472	0	6	1	0	16	193	3	0	1	6.26324e+06
9472	0	6	2	0	16	193	3	0	1	1.66245e+07
9472	0	7	1	0	16	193	3	0	1	2.82103e+06
9472	0	7	2	0	16	193	3	0	1	6.26324e+06
9472	0	8	1	0	16	193	3	0	1	1.43727e+06
9472	0	8	2	0	16	193	3	0	1	2.82103e+06
9472	0	9	1	0	16	193	3	0	1	801389
9472	0	9	2	0	16	193	3	0	1	1.43727e+06
9472	0	10	1	0	16	193	3	0	1	478706
9472	0	10	2	0	16	193	3	0	1	801389
9472	0	11	1	0	16	193	3	0	1	12.6725
9472	0	11	2	0	16	193	3	0	1	12.6974
9488	0	3	1	0	16	193	0	1	1	3.44867e+08
9488	0	3	2	0	16	193	0	1	1	7.15411e+09
9488	0	4	1	0	16	193	0	1	1	5.8521e+07
9488	0	4	2	0	16	193	0	1	1	3.44867e+08
9488	0	5	1	0	16	193	0	1	1	1.66245e+07
9488	0	5	2	0	16	193	0	1	1	5.8521e+07
9488	0	6	1	0	16	193	0	1	1	6.26324e+06
9488	0	6	2	0	16	193	0	1	1	1.66245e+07
9488	0	7	1	0	16	193	0	1	1	2.82103e+06
9488	0	7	2	0	16	193	0	1	1	6.26324e+06
9488	0	8	1	0	16	193	0	1	1	1.43727e+06
9488	0	8	2	0	16	193	0	1	1	2.82103e+06
9488	0	9	1	0	16	193	0	1	1	801389
9488	0	9	2	0	16	193	0	1	1	1.43727e+06
9488	0	10	1	0	16	193	0	1	1	478706
9488	0	10	2	0	16	193	0	1	1	801389
9488	0	11	1	0	16	193	0	1	1	12.6725
9488	0	11	2	0	16	193	0	1	1	12.6974
9496	0	3	1	0	16	193	1	0	1	3.44867e+08
9496	0	3	2	0	16	193	1	0	1	7.15411e+09
9496	0	4	1	0	16	193	1	0	1	5.8521e+07
9496	0	4	2	0	16	193	1	0	1	3.44867e+08
9496	0	5	1	0	16	193	1	0	1	1.66245e+07
9496	0	5	2	0	16	193	1	0	1	5.8521e+07
9496	0	6	1	0	16	193	1	0	1	6.26324e+06
9496	0	6	2	0	16	193	1	0	1	1.66245e+07
9496	0	7	1	0	16	193	1	0	1	2.82103e+06
9496	0	7	2	0	16	193	1	0	1	6.26324e+06
9496	0	8	1	0	16	193	1	0	1	1.43727e+06
9496	0	8	2	0	16	193	1	0	1	2.82103e+06
9496	0	9	1	0	16	193	1	0	1	801389
9496	0	9	2	0	16	193	1	0	1	1.43727e+06
9496	0	10	1	0	16	193	1	0	1	478706
9496	0	10	2	0	16	193	1	0	1	801389
9496	0	11	1	0	16	193	1	0	1	12.6725
9496	0	11	2	0	16	193	1	0	1	12.6974
9504	0	3	1	0	16	193	2	0	1	3.44867e+08
9504	0	3	2	0	16	193	2	0	1	7.15411e+09
9504	0	4	1	0	16	193	2	0	1	5.8521e+07
9504	0	4	2	0	16	193	2	0	1	3.44867e+08
9504	0	5	1	0	16	193	2	0	1	1.66245e+07
9504	0	5	2	0	16	193	2	0	1	5.8521e+07
9504	0	6	1	0	16	193	2	0	1	6.26324e+06
9504	0	6	2	0	16	193	2	0	1	1.66245e+07
9504	0	7	1	0	16	193	2	0	1	2.82103e+06
9504	0	7	2	0	16	193	2	0	1	6.26324e+06
9504	0	8	1	0	16	193	2	0	1	1.43727e+06
9504	0	8	2	0	16	193	2	0	1	2.82103e+06
9504	0	9	1	0	16	193	2	0	1	801389
9504	0	9	2	0	16	193	2	0	1	1.43727e+06
9504	0	10	1	0	16	193	2	0	1	478706
9504	0	10	2	0	16	193	2	0	1	801389
9504	0	11	1	0	16	193	2	0	1	12.6725
9504	0	11	2	0	16	193	2	0	1	12.6974
9512	0	3	1	0	16	193	3	0	1	3.44867e+08
9512	0	3	2	0	16	193	3	0	1	7.15411e+09
9512	0	4	1	0	16	193	3	0	1	5.8521e+07
9512	0	4	2	0	16	193	3	0	1	3.44867e+08
9512	0	5	1	0	16	193	3	0	1	1.66245e+07
9512	0	5	2	0	16	193	3	0	1	5.8521e+07
9512	0	6	1	0	16	193	3	0	1	6.26324e+06
9512	0	6	2	0	16	193	3	0	1	1.66245e+07
9512	0	7	1	0	16	193	3	0	1	2.82103e+06
9512	0	7	2	0	16	193	3	0	1	6.26324e+06
9512	0	8	1	0	16	193	3	0	1	1.43727e+06
9512	0	8	2	0	16	193	3	0	1	2.82103e+06
9512	0	9	1	0	16	193	3	0	1	801389
9512	0	9	2	0	16	193	3	0	1	1.43727e+06
9512	0	10	1	0	16	193	3	0	1	478706
9512	0	10	2	0	16	193	3	0	1	801389
9512	0	11	1	0	16	193	3	0	1	12.6725
9512	0	11	2	0	16	193	3	0	1	12.6974
9568	0	3	1	0	16	193	0	1	0	0.121087
9568	0	3	2	0	16	193	0	1	1	52.1079
9568	0	4	1	0	16	193	0	1	0	0.426246
9568	0	4	2	0	16	193	0	1	1	14.8026
9568	0	5	1	0	16	193	0	1	0	0.713568
9568	0	5	2	0	16	193	0	1	1	8.84228
9568	0	6	1	0	16	193	0	1	0	0.946349
9568	0	6	2	0	16	193	0	1	1	6.66727
9568	0	7	1	0	16	193	0	1	0	1.13138
9568	0	7	2	0	16	193	0	1	1	5.57687
9568	0	8	1	0	16	193	0	1	0	1.27976
9568	0	8	2	0	16	193	0	1	0	4.93025
9568	0	9	1	0	16	193	0	1	0	1.40057
9568	0	9	2	0	16	193	0	1	0	4.50499
9568	0	10	1	0	16	193	0	1	0	1.50046
9568	0	10	2	0	16	193	0	1	0	4.20506
9568	0	11	1	0	16	193	0	1	0	2.09292
9568	0	11	2	0	16	193	0	1	0	2.10048
9576	0	3	1	0	16	193	1	0	0	0.121087
9576	0	3	2	0	16	193	1	0	1	52.1079
9576	0	4	1	0	16	193	1	0	0	0.426246
9576	0	4	2	0	16	193	1	0	1	14.8026
9576	0	5	1	0	16	193	1	0	0	0.713568
9576	0	5	2	0	16	193	1	0	1	8.84228
9576	0	6	1	0	16	193	1	0	0	0.946349
9576	0	6	2	0	16	193	1	0	1	6.66727
9576	0	7	1	0	16	193	1	0	0	1.13138
