% time	cellId	IMSI	RNTI	frame	sframe	resPscch	pscchFr1	pscchSf1	pscchFr2	pscchSf2	mcs	TBS	psschRB	psschLen	psschItrp
4076	0	8	8	409	1	78	409	2	409	7	16	193	27	5	0
4076	0	9	9	409	1	52	409	4	409	5	16	193	12	5	0
4076	0	10	10	409	1	142	409	3	409	7	16	193	37	5	0
4076	0	11	11	409	1	81	409	2	409	6	16	193	33	5	0
4116	0	1	1	413	1	11	413	4	413	6	16	193	15	5	0
4116	0	2	2	413	1	66	413	3	413	5	16	193	39	5	0
4116	0	3	3	413	1	173	413	6	413	7	16	193	9	5	0
4116	0	4	4	413	1	70	413	1	413	7	16	193	40	5	0
4116	0	5	5	413	1	79	413	3	413	8	16	193	14	5	0
4116	0	6	6	413	1	64	413	1	413	3	16	193	24	5	0
4116	0	7	7	413	1	60	413	5	413	6	16	193	14	5	0
4116	0	8	8	413	1	84	413	1	413	5	16	193	42	5	0
4116	0	9	9	413	1	113	413	2	413	3	16	193	14	5	0
4116	0	10	10	413	1	138	413	3	413	7	16	193	30	5	0
4116	0	11	11	413	1	98	413	1	413	3	16	193	38	5	0
4196	0	1	1	421	1	139	421	4	421	8	16	193	10	5	0
4196	0	2	2	421	1	149	421	3	421	6	16	193	18	5	0
4196	0	3	3	421	1	148	421	2	421	5	16	193	40	5	0
4196	0	4	4	421	1	165	421	5	421	6	16	193	12	5	0
4196	0	5	5	421	1	85	421	2	421	6	16	193	38	5	0
4196	0	6	6	421	1	93	421	3	421	6	16	193	14	5	0
4196	0	7	7	421	1	149	421	3	421	6	16	193	3	5	0
4196	0	8	8	421	1	2	421	3	421	4	16	193	43	5	0
4196	0	9	9	421	1	92	421	2	421	5	16	193	7	5	0
4196	0	10	10	421	1	15	421	2	421	8	16	193	5	5	0
4196	0	11	11	421	1	32	421	1	421	6	16	193	6	5	0
4276	0	1	1	429	1	126	429	1	429	7	16	193	31	5	0
4276	0	2	2	429	1	117	429	6	429	7	16	193	26	5	0
4276	0	3	3	429	1	117	429	6	429	7	16	193	43	5	0
4276	0	4	4	429	1	92	429	2	429	5	16	193	35	5	0
4276	0	5	5	429	1	111	429	7	429	8	16	193	18	5	0
4276	0	6	6	429	1	108	429	4	429	5	16	193	22	5	0
4276	0	7	7	429	1	48	429	1	429	8	16	193	20	5	0
4276	0	8	8	429	1	123	429	4	429	6	16	193	23	5	0
4276	0	9	9	429	1	118	429	7	429	8	16	193	12	5	0
4276	0	10	10	429	1	42	429	1	429	3	16	193	4	5	0
4276	0	11	11	429	1	112	429	1	429	2	16	193	1	5	0
4316	0	1	1	433	1	102	433	5	433	7	16	193	14	5	0
4316	0	2	2	433	1	160	433	1	433	8	16	193	31	5	0
4316	0	3	3	433	1	122	433	3	433	5	16	193	23	5	0
4316	0	4	4	433	1	35	433	1	433	4	16	193	7	5	0
4316	0	5	5	433	1	144	433	1	433	6	16	193	9	5	0
4316	0	6	6	433	1	94	433	4	433	7	16	193	24	5	0
4316	0	7	7	433	1	48	433	1	433	8	16	193	14	5	0
4316	0	8	8	433	1	46	433	5	433	7	16	193	15	5	0
4316	0	9	9	433	1	134	433	2	433	7	16	193	30	5	0
4316	0	10	10	433	1	166	433	6	433	7	16	193	41	5	0
4316	0	11	11	433	1	12	433	5	433	7	16	193	16	5	0
4396	0	1	1	441	1	175	441	1	441	8	16	193	10	5	0
4396	0	2	2	441	1	87	441	4	441	8	16	193	27	5	0
4396	0	3	3	441	1	139	441	4	441	8	16	193	17	5	0
4396	0	4	4	441	1	105	441	1	441	2	16	193	26	5	0
4396	0	5	5	441	1	152	441	1	441	7	16	193	11	5	0
4396	0	6	6	441	1	136	441	1	441	5	16	193	2	5	0
4396	0	7	7	441	1	55	441	7	441	8	16	193	15	5	0
4396	0	8	8	441	1	47	441	6	441	8	16	193	15	5	0
4396	0	9	9	441	1	145	441	2	441	7	16	193	23	5	0
4396	0	10	10	441	1	18	441	3	441	6	16	193	22	5	0
4396	0	11	11	441	1	107	441	3	441	4	16	193	28	5	0
4436	0	1	1	445	1	153	445	2	445	8	16	193	34	5	0
4436	0	2	2	445	1	158	445	5	445	7	16	193	38	5	0
4436	0	3	3	445	1	74	445	3	445	6	16	193	7	5	0
4436	0	4	4	445	1	56	445	1	445	2	16	193	19	5	0
