Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
219.369	f8.8	58	41	FullDelay	0.230159	230159	1	2
220.689	f8.8	58	42	FullDelay	0.232539	232539	1	2
221.329	f8.8	58	43	FullDelay	0.227166	227166	1	2
222.729	f8.8	58	44	FullDelay	0.245424	245424	1	2
223.609	f8.8	58	45	FullDelay	0.213783	213783	1	2
224.609	f8.8	58	46	FullDelay	0.220423	220423	1	2
225.609	f8.8	58	47	FullDelay	0.233859	233859	1	2
226.289	f8.8	58	48	FullDelay	0.245323	245323	1	2
227.329	f8.8	58	49	FullDelay	0.221521	221521	1	2
228.489	f8.8	58	50	FullDelay	0.213432	213432	1	2
